trade_date,ts_code,trade_date,close,open,high,low,Z_close,Z_open,Z_high,Z_low
2007-03-13,000001.SH,20070313,2964.794,2958.096,2966.194,2932.234,2.1235279979815824,2.110315267601333,2.1262896914023575,2.0592988995669925
2007-03-14,000001.SH,20070314,2906.334,2933.679,2934.454,2868.807,1.9851285296813896,2.0387849908819655,2.0403056987784898,1.9114929100260964
2007-03-15,000001.SH,20070315,2951.698,2905.976,2955.462,2905.976,2.0496399026363985,1.960425861770841,2.0569843243550014,1.960425861770841
2007-03-16,000001.SH,20070316,2930.481,2964.094,2979.708,2899.032,1.9853656828052269,2.050617124082739,2.080927896822664,1.9243151197273551
2007-03-19,000001.SH,20070319,3014.442,2864.256,3037.999,2852.858,2.121883158542193,1.832133469088841,2.1673310260827927,1.810143623428199
2007-03-20,000001.SH,20070320,3032.195,3024.781,3033.02,2998.804,2.129844694753616,2.1156259914612616,2.1314268946748713,2.0658068310316064
2007-03-21,000001.SH,20070321,3057.38,3042.098,3057.71,3020.949,2.151406323154075,2.122274080056462,2.15203540574943,2.081957510937798
2007-03-22,000001.SH,20070322,3071.225,3080.602,3099.819,3059.381,2.151183841453776,2.1689535708467353,2.2053704301561625,2.128739064347003
2007-03-23,000001.SH,20070323,3074.286,3071.808,3085.324,3008.154,2.1309868986269316,2.1263178377292213,2.1517847574602333,2.006380629342287
2007-03-26,000001.SH,20070326,3122.811,3083.938,3123.179,3069.473,2.194408676170431,2.1216308793103416,2.1950976435576792,2.0945495932871068
2007-03-27,000001.SH,20070327,3138.826,3126.025,3145.044,3103.779,2.196374484381984,2.1725608824271876,2.2079417820114595,2.1311768195347263
2007-03-28,000001.SH,20070328,3173.018,3140.68,3180.332,3052.078,2.230725805701253,2.170975956164328,2.244239640802776,2.0072689808204425
2007-03-29,000001.SH,20070329,3197.537,3179.803,3273.727,3176.526,2.246329362712837,2.2137887848206432,2.386132375547293,2.207775732280172
2007-03-30,000001.SH,20070330,3183.983,3178.496,3212.389,3157.03,2.193502723653204,2.1834984079892084,2.245294703013775,2.144359964387363
2007-04-02,000001.SH,20070402,3252.595,3196.587,3253.435,3196.587,2.2874528667667238,2.1860853873293657,2.2889731617732836,2.1860853873293657
2007-04-03,000001.SH,20070403,3291.299,3265.676,3292.578,3251.523,2.3250993125207695,2.279081775567149,2.3273963280834935,2.2536637448718917
2007-04-04,000001.SH,20070404,3291.542,3295.976,3308.148,3266.559,2.294123011939666,2.302026993098444,2.3237246157111286,2.2495886950046775
2007-04-05,000001.SH,20070405,3319.14,3286.163,3326.916,3259.626,2.311287882786831,2.2529519735964643,2.325043531568233,2.206008345547074
2007-04-06,000001.SH,20070406,3323.585,3287.684,3334.224,3273.855,2.288040025843625,2.2249963886610886,2.3067225487812877,2.200712094112265
2007-04-09,000001.SH,20070409,3398.95,3333.422,3399.515,3333.262,2.385923002498599,2.271800495375914,2.3869069973790213,2.2715218419584495
2007-04-10,000001.SH,20070410,3444.291,3405.233,3444.374,3351.105,2.4288494087188113,2.3614155251808597,2.428992708742715,2.2679631915195806
2007-04-11,000001.SH,20070411,3495.224,3454.417,3497.52,3428.782,2.478778450082619,2.40897276650821,2.482706056853193,2.365120763213924
2007-04-12,000001.SH,20070412,3531.029,3503.227,3532.862,3488.077,2.501333252836345,2.454217227617785,2.5044396363420502,2.4285425357948527
2007-04-13,000001.SH,20070413,3518.267,3537.22,3563.856,3504.161,2.4432228528387823,2.4750616138906003,2.5198068911225024,2.4195264689735927
